group	x	y	showSelected2
1	2.5791542507711	1	round.aum prop.finite 2.6 1
2	2.5791542507711	1	prop.finite round.auc 1 0.3333
3	2.5791542507711	1	round.aum round.auc 2.6 0.3333
4	2.1589122715	0.875	round.aum prop.finite 2.2 0.875
5	2.1589122715	0.875	prop.finite round.auc 0.875 0.75
6	2.1589122715	0.875	round.aum round.auc 2.2 0.75
7	2.43631842861626	0.875	round.aum prop.finite 2.4 0.875
8	2.43631842861626	0.875	prop.finite round.auc 0.875 0.75
9	2.43631842861626	0.875	round.aum round.auc 2.4 0.75
10	1.75038823747885	0.75	round.aum prop.finite 1.8 0.75
11	1.75038823747885	0.75	prop.finite round.auc 0.75 1.1667
12	1.75038823747885	0.75	round.aum round.auc 1.8 1.1667
13	2.5791542507711	0.875	round.aum prop.finite 2.6 0.875
14	2.5791542507711	0.875	prop.finite round.auc 0.875 0.4167
15	2.5791542507711	0.875	round.aum round.auc 2.6 0.4167
16	2.1589122715	0.75	round.aum prop.finite 2.2 0.75
17	2.1589122715	0.75	prop.finite round.auc 0.75 0.75
18	2.1589122715	0.75	round.aum round.auc 2.2 0.75
19	2.43631842861626	0.75	round.aum prop.finite 2.4 0.75
20	2.43631842861626	0.75	prop.finite round.auc 0.75 0.75
21	2.43631842861626	0.75	round.aum round.auc 2.4 0.75
22	1.75038823747885	0.625	round.aum prop.finite 1.8 0.625
23	1.75038823747885	0.625	prop.finite round.auc 0.625 1.0833
24	1.75038823747885	0.625	round.aum round.auc 1.8 1.0833
25	2.5791542507711	0.875	round.aum prop.finite 2.6 0.875
26	2.5791542507711	0.875	prop.finite round.auc 0.875 0.25
27	2.5791542507711	0.875	round.aum round.auc 2.6 0.25
28	2.1589122715	0.75	round.aum prop.finite 2.2 0.75
29	2.1589122715	0.75	prop.finite round.auc 0.75 0.6667
30	2.1589122715	0.75	round.aum round.auc 2.2 0.6667
31	2.43631842861626	0.75	round.aum prop.finite 2.4 0.75
32	2.43631842861626	0.75	prop.finite round.auc 0.75 0.75
33	2.43631842861626	0.75	round.aum round.auc 2.4 0.75
34	1.75038823747885	0.625	round.aum prop.finite 1.8 0.625
35	1.75038823747885	0.625	prop.finite round.auc 0.625 1.1667
36	1.75038823747885	0.625	round.aum round.auc 1.8 1.1667
37	2.5791542507711	0.75	round.aum prop.finite 2.6 0.75
38	2.5791542507711	0.75	prop.finite round.auc 0.75 0.3333
39	2.5791542507711	0.75	round.aum round.auc 2.6 0.3333
40	2.1589122715	0.625	round.aum prop.finite 2.2 0.625
41	2.1589122715	0.625	prop.finite round.auc 0.625 0.6667
42	2.1589122715	0.625	round.aum round.auc 2.2 0.6667
43	2.43631842861626	0.625	round.aum prop.finite 2.4 0.625
44	2.43631842861626	0.625	prop.finite round.auc 0.625 0.75
45	2.43631842861626	0.625	round.aum round.auc 2.4 0.75
46	1.75038823747885	0.5	round.aum prop.finite 1.8 0.5
47	1.75038823747885	0.5	prop.finite round.auc 0.5 1.0833
48	1.75038823747885	0.5	round.aum round.auc 1.8 1.0833
49	2.5361174453145	0.875	round.aum prop.finite 2.6 0.875
50	2.5361174453145	0.875	prop.finite round.auc 0.875 0.5
51	2.5361174453145	0.875	round.aum round.auc 2.6 0.5
52	2.11587546604341	0.75	round.aum prop.finite 2.2 0.75
53	2.11587546604341	0.75	prop.finite round.auc 0.75 0.8333
54	2.11587546604341	0.75	round.aum round.auc 2.2 0.8333
55	2.43631842861626	0.75	round.aum prop.finite 2.4 0.75
56	2.43631842861626	0.75	prop.finite round.auc 0.75 0.75
57	2.43631842861626	0.75	round.aum round.auc 2.4 0.75
58	1.73315394009335	0.625	round.aum prop.finite 1.8 0.625
59	1.73315394009335	0.625	prop.finite round.auc 0.625 1.0833
60	1.73315394009335	0.625	round.aum round.auc 1.8 1.0833
61	2.47042429382762	0.75	round.aum prop.finite 2.4 0.75
62	2.47042429382762	0.75	prop.finite round.auc 0.75 0.5833
63	2.47042429382762	0.75	round.aum round.auc 2.4 0.5833
64	2.05018231455653	0.625	round.aum prop.finite 2 0.625
65	2.05018231455653	0.625	prop.finite round.auc 0.625 0.8333
66	2.05018231455653	0.625	round.aum round.auc 2 0.8333
67	2.40514832972369	0.625	round.aum prop.finite 2.4 0.625
68	2.40514832972369	0.625	prop.finite round.auc 0.625 0.75
69	2.40514832972369	0.625	round.aum round.auc 2.4 0.75
70	1.70198384120078	0.5	round.aum prop.finite 1.8 0.5
71	1.70198384120078	0.5	prop.finite round.auc 0.5 1
72	1.70198384120078	0.5	round.aum round.auc 1.8 1
73	2.5361174453145	0.75	round.aum prop.finite 2.6 0.75
74	2.5361174453145	0.75	prop.finite round.auc 0.75 0.4167
75	2.5361174453145	0.75	round.aum round.auc 2.6 0.4167
76	2.11587546604341	0.625	round.aum prop.finite 2.2 0.625
77	2.11587546604341	0.625	prop.finite round.auc 0.625 0.75
78	2.11587546604341	0.625	round.aum round.auc 2.2 0.75
79	2.43631842861626	0.625	round.aum prop.finite 2.4 0.625
80	2.43631842861626	0.625	prop.finite round.auc 0.625 0.75
81	2.43631842861626	0.625	round.aum round.auc 2.4 0.75
82	1.73315394009335	0.5	round.aum prop.finite 1.8 0.5
83	1.73315394009335	0.5	prop.finite round.auc 0.5 1.0833
84	1.73315394009335	0.5	round.aum round.auc 1.8 1.0833
85	2.47042429382762	0.625	round.aum prop.finite 2.4 0.625
86	2.47042429382762	0.625	prop.finite round.auc 0.625 0.5
87	2.47042429382762	0.625	round.aum round.auc 2.4 0.5
88	2.05018231455653	0.5	round.aum prop.finite 2 0.5
89	2.05018231455653	0.5	prop.finite round.auc 0.5 0.75
90	2.05018231455653	0.5	round.aum round.auc 2 0.75
91	2.40514832972369	0.5	round.aum prop.finite 2.4 0.5
92	2.40514832972369	0.5	prop.finite round.auc 0.5 0.75
93	2.40514832972369	0.5	round.aum round.auc 2.4 0.75
94	1.70198384120078	0.375	round.aum prop.finite 1.8 0.375
95	1.70198384120078	0.375	prop.finite round.auc 0.375 1
96	1.70198384120078	0.375	round.aum round.auc 1.8 1
97	2.5791542507711	0.875	round.aum prop.finite 2.6 0.875
98	2.5791542507711	0.875	prop.finite round.auc 0.875 0.3333
99	2.5791542507711	0.875	round.aum round.auc 2.6 0.3333
100	2.1589122715	0.75	round.aum prop.finite 2.2 0.75
101	2.1589122715	0.75	prop.finite round.auc 0.75 0.6667
102	2.1589122715	0.75	round.aum round.auc 2.2 0.6667
103	2.43631842861626	0.75	round.aum prop.finite 2.4 0.75
104	2.43631842861626	0.75	prop.finite round.auc 0.75 0.8333
105	2.43631842861626	0.75	round.aum round.auc 2.4 0.8333
106	1.75038823747885	0.625	round.aum prop.finite 1.8 0.625
107	1.75038823747885	0.625	prop.finite round.auc 0.625 1.1667
108	1.75038823747885	0.625	round.aum round.auc 1.8 1.1667
109	2.5791542507711	0.75	round.aum prop.finite 2.6 0.75
110	2.5791542507711	0.75	prop.finite round.auc 0.75 0.4167
111	2.5791542507711	0.75	round.aum round.auc 2.6 0.4167
112	2.1589122715	0.625	round.aum prop.finite 2.2 0.625
113	2.1589122715	0.625	prop.finite round.auc 0.625 0.6667
114	2.1589122715	0.625	round.aum round.auc 2.2 0.6667
115	2.43631842861626	0.625	round.aum prop.finite 2.4 0.625
116	2.43631842861626	0.625	prop.finite round.auc 0.625 0.8333
117	2.43631842861626	0.625	round.aum round.auc 2.4 0.8333
118	1.75038823747885	0.5	round.aum prop.finite 1.8 0.5
119	1.75038823747885	0.5	prop.finite round.auc 0.5 1.0833
120	1.75038823747885	0.5	round.aum round.auc 1.8 1.0833
121	2.5791542507711	0.75	round.aum prop.finite 2.6 0.75
122	2.5791542507711	0.75	prop.finite round.auc 0.75 0.25
123	2.5791542507711	0.75	round.aum round.auc 2.6 0.25
124	2.1589122715	0.625	round.aum prop.finite 2.2 0.625
125	2.1589122715	0.625	prop.finite round.auc 0.625 0.5833
126	2.1589122715	0.625	round.aum round.auc 2.2 0.5833
127	2.43631842861626	0.625	round.aum prop.finite 2.4 0.625
128	2.43631842861626	0.625	prop.finite round.auc 0.625 0.8333
129	2.43631842861626	0.625	round.aum round.auc 2.4 0.8333
130	1.75038823747885	0.5	round.aum prop.finite 1.8 0.5
131	1.75038823747885	0.5	prop.finite round.auc 0.5 1.1667
132	1.75038823747885	0.5	round.aum round.auc 1.8 1.1667
133	2.5791542507711	0.625	round.aum prop.finite 2.6 0.625
134	2.5791542507711	0.625	prop.finite round.auc 0.625 0.3333
135	2.5791542507711	0.625	round.aum round.auc 2.6 0.3333
136	2.1589122715	0.5	round.aum prop.finite 2.2 0.5
137	2.1589122715	0.5	prop.finite round.auc 0.5 0.5833
138	2.1589122715	0.5	round.aum round.auc 2.2 0.5833
139	2.43631842861626	0.5	round.aum prop.finite 2.4 0.5
140	2.43631842861626	0.5	prop.finite round.auc 0.5 0.8333
141	2.43631842861626	0.5	round.aum round.auc 2.4 0.8333
142	1.75038823747885	0.375	round.aum prop.finite 1.8 0.375
143	1.75038823747885	0.375	prop.finite round.auc 0.375 1.0833
144	1.75038823747885	0.375	round.aum round.auc 1.8 1.0833
145	2.5361174453145	0.75	round.aum prop.finite 2.6 0.75
146	2.5361174453145	0.75	prop.finite round.auc 0.75 0.5
147	2.5361174453145	0.75	round.aum round.auc 2.6 0.5
148	2.11587546604341	0.625	round.aum prop.finite 2.2 0.625
149	2.11587546604341	0.625	prop.finite round.auc 0.625 0.75
150	2.11587546604341	0.625	round.aum round.auc 2.2 0.75
151	2.43631842861626	0.625	round.aum prop.finite 2.4 0.625
152	2.43631842861626	0.625	prop.finite round.auc 0.625 0.8333
153	2.43631842861626	0.625	round.aum round.auc 2.4 0.8333
154	1.73315394009335	0.5	round.aum prop.finite 1.8 0.5
155	1.73315394009335	0.5	prop.finite round.auc 0.5 1.0833
156	1.73315394009335	0.5	round.aum round.auc 1.8 1.0833
157	2.47042429382762	0.625	round.aum prop.finite 2.4 0.625
158	2.47042429382762	0.625	prop.finite round.auc 0.625 0.5833
159	2.47042429382762	0.625	round.aum round.auc 2.4 0.5833
160	2.05018231455653	0.5	round.aum prop.finite 2 0.5
161	2.05018231455653	0.5	prop.finite round.auc 0.5 0.75
162	2.05018231455653	0.5	round.aum round.auc 2 0.75
163	2.3469609385721	0.5	round.aum prop.finite 2.4 0.5
164	2.3469609385721	0.5	prop.finite round.auc 0.5 0.8333
