x	y	key	clickSelects	showSelected2	PANEL
0	0	0 0	1	1	1
0.166666666666667	0	0.166666666666667 0	2	1	1
0.333333333333333	0	0.333333333333333 0	3	1	1
0.5	0	0.5 0	4	1	1
0.5	0.5	0.5 0.5	5	1	1
0.666666666666667	0.5	0.666666666666667 0.5	6	1	1
0.833333333333333	0.5	0.833333333333333 0.5	7	1	1
0.666666666666667	0.5	0.666666666666667 0.5	8	1	1
0.666666666666667	1	0.666666666666667 1	9	1	1
0.833333333333333	1	0.833333333333333 1	10	1	1
0.666666666666667	1	0.666666666666667 1	11	1	1
0.5	1	0.5 1	12	1	1
0.333333333333333	1	0.333333333333333 1	13	1	1
0.166666666666667	1	0.166666666666667 1	14	1	1
0	1	0 1	15	1	1
0.166666666666667	1	0.166666666666667 1	16	1	1
0.333333333333333	1	0.333333333333333 1	17	1	1
0.5	1	0.5 1	18	1	1
0.666666666666667	1	0.666666666666667 1	19	1	1
0.833333333333333	1	0.833333333333333 1	20	1	1
0.833333333333333	0.5	0.833333333333333 0.5	21	1	1
1	0.5	1 0.5	22	1	1
1	0	1 0	23	1	1
1	0.5	1 0.5	24	1	1
1	1	1 1	25	1	1
0	0	0 0	1	2	1
0.166666666666667	0	0.166666666666667 0	2	2	1
0.166666666666667	0.5	0.166666666666667 0.5	3	2	1
0.166666666666667	0	0.166666666666667 0	4	2	1
0.166666666666667	0.5	0.166666666666667 0.5	5	2	1
0.333333333333333	0.5	0.333333333333333 0.5	6	2	1
0.5	0.5	0.5 0.5	7	2	1
0.5	1	0.5 1	8	2	1
0.666666666666667	1	0.666666666666667 1	9	2	1
0.833333333333333	1	0.833333333333333 1	10	2	1
0.666666666666667	1	0.666666666666667 1	11	2	1
0.833333333333333	1	0.833333333333333 1	12	2	1
0.666666666666667	1	0.666666666666667 1	13	2	1
0.5	1	0.5 1	14	2	1
0.333333333333333	1	0.333333333333333 1	15	2	1
0.166666666666667	1	0.166666666666667 1	16	2	1
0	1	0 1	17	2	1
0.166666666666667	1	0.166666666666667 1	18	2	1
0.333333333333333	1	0.333333333333333 1	19	2	1
0.5	1	0.5 1	20	2	1
0.666666666666667	1	0.666666666666667 1	21	2	1
0.833333333333333	1	0.833333333333333 1	22	2	1
1	1	1 1	23	2	1
1	0.5	1 0.5	24	2	1
1	1	1 1	25	2	1
0	0	0 0	1	3	1
0.166666666666667	0	0.166666666666667 0	2	3	1
0.166666666666667	0.5	0.166666666666667 0.5	3	3	1
0.166666666666667	0	0.166666666666667 0	4	3	1
0.166666666666667	0.5	0.166666666666667 0.5	5	3	1
0.333333333333333	0.5	0.333333333333333 0.5	6	3	1
0.5	0.5	0.5 0.5	7	3	1
0.666666666666667	0.5	0.666666666666667 0.5	8	3	1
0.833333333333333	0.5	0.833333333333333 0.5	9	3	1
0.666666666666667	0.5	0.666666666666667 0.5	10	3	1
0.666666666666667	1	0.666666666666667 1	11	3	1
0.833333333333333	1	0.833333333333333 1	12	3	1
0.666666666666667	1	0.666666666666667 1	13	3	1
0.5	1	0.5 1	14	3	1
0.333333333333333	1	0.333333333333333 1	15	3	1
0.166666666666667	1	0.166666666666667 1	16	3	1
0	1	0 1	17	3	1
0.166666666666667	1	0.166666666666667 1	18	3	1
0.333333333333333	1	0.333333333333333 1	19	3	1
0.5	1	0.5 1	20	3	1
0.666666666666667	1	0.666666666666667 1	21	3	1
0.833333333333333	1	0.833333333333333 1	22	3	1
0.833333333333333	0.5	0.833333333333333 0.5	23	3	1
1	0.5	1 0.5	24	3	1
1	1	1 1	25	3	1
0	0	0 0	1	4	1
0.166666666666667	0	0.166666666666667 0	2	4	1
0.166666666666667	0.5	0.166666666666667 0.5	3	4	1
0.166666666666667	1	0.166666666666667 1	4	4	1
0.166666666666667	0.5	0.166666666666667 0.5	5	4	1
0.166666666666667	0	0.166666666666667 0	6	4	1
0.166666666666667	0.5	0.166666666666667 0.5	7	4	1
0.166666666666667	1	0.166666666666667 1	8	4	1
0.333333333333333	1	0.333333333333333 1	9	4	1
0.5	1	0.5 1	10	4	1
0.666666666666667	1	0.666666666666667 1	11	4	1
0.833333333333333	1	0.833333333333333 1	12	4	1
0.666666666666667	1	0.666666666666667 1	13	4	1
0.833333333333333	1	0.833333333333333 1	14	4	1
0.666666666666667	1	0.666666666666667 1	15	4	1
0.5	1	0.5 1	16	4	1
0.333333333333333	1	0.333333333333333 1	17	4	1
0.166666666666667	1	0.166666666666667 1	18	4	1
0	1	0 1	19	4	1
0.166666666666667	1	0.166666666666667 1	20	4	1
0.333333333333333	1	0.333333333333333 1	21	4	1
0.5	1	0.5 1	22	4	1
0.666666666666667	1	0.666666666666667 1	23	4	1
0.833333333333333	1	0.833333333333333 1	24	4	1
1	1	1 1	25	4	1
0	0	0 0	1	5	1
0.166666666666667	0	0.166666666666667 0	2	5	1
0.333333333333333	0	0.333333333333333 0	3	5	1
0.333333333333333	0.5	0.333333333333333 0.5	4	5	1
0.5	0.5	0.5 0.5	5	5	1
0.666666666666667	0.5	0.666666666666667 0.5	6	5	1
0.666666666666667	1	0.666666666666667 1	7	5	1
0.833333333333333	1	0.833333333333333 1	8	5	1
0.666666666666667	1	0.666666666666667 1	9	5	1
0.5	1	0.5 1	10	5	1
0.333333333333333	1	0.333333333333333 1	11	5	1
0.166666666666667	1	0.166666666666667 1	12	5	1
0	1	0 1	13	5	1
0.166666666666667	1	0.166666666666667 1	14	5	1
0.333333333333333	1	0.333333333333333 1	15	5	1
0.5	1	0.5 1	16	5	1
0.666666666666667	1	0.666666666666667 1	17	5	1
0.833333333333333	1	0.833333333333333 1	18	5	1
0.833333333333333	0.5	0.833333333333333 0.5	19	5	1
0.833333333333333	0	0.833333333333333 0	20	5	1
0.833333333333333	0.5	0.833333333333333 0.5	21	5	1
0.833333333333333	1	0.833333333333333 1	22	5	1
1	1	1 1	23	5	1
0.833333333333333	1	0.833333333333333 1	24	5	1
1	1	1 1	25	5	1
0	0	0 0	1	6	1
0.166666666666667	0	0.166666666666667 0	2	6	1
0.166666666666667	0.5	0.166666666666667 0.5	3	6	1
0.166666666666667	0	0.166666666666667 0	4	6	1
