group	x	y
1	2.5791542507711	1
2	2.5791542507711	1
3	2.5791542507711	1
4	2.1589122715	0.875
5	2.1589122715	0.875
6	2.1589122715	0.875
7	2.42731842861626	0.875
8	2.42731842861626	0.875
9	2.42731842861626	0.875
10	1.74138823747885	0.75
11	1.74138823747885	0.75
12	1.74138823747885	0.75
13	2.5791542507711	0.875
14	2.5791542507711	0.875
15	2.5791542507711	0.875
16	2.1589122715	0.75
17	2.1589122715	0.75
18	2.1589122715	0.75
19	2.42731842861626	0.75
20	2.42731842861626	0.75
21	2.42731842861626	0.75
22	1.74138823747885	0.625
23	1.74138823747885	0.625
24	1.74138823747885	0.625
25	2.5791542507711	0.875
26	2.5791542507711	0.875
27	2.5791542507711	0.875
28	2.1589122715	0.75
29	2.1589122715	0.75
30	2.1589122715	0.75
31	2.42731842861626	0.75
32	2.42731842861626	0.75
33	2.42731842861626	0.75
34	1.74138823747885	0.625
35	1.74138823747885	0.625
36	1.74138823747885	0.625
37	2.5791542507711	0.75
38	2.5791542507711	0.75
39	2.5791542507711	0.75
40	2.1589122715	0.625
41	2.1589122715	0.625
42	2.1589122715	0.625
43	2.42731842861626	0.625
44	2.42731842861626	0.625
45	2.42731842861626	0.625
46	1.74138823747885	0.5
47	1.74138823747885	0.5
48	1.74138823747885	0.5
49	2.5361174453145	0.875
50	2.5361174453145	0.875
51	2.5361174453145	0.875
52	2.11587546604341	0.75
53	2.11587546604341	0.75
54	2.11587546604341	0.75
55	2.42731842861626	0.75
56	2.42731842861626	0.75
57	2.42731842861626	0.75
58	1.72415394009335	0.625
59	1.72415394009335	0.625
60	1.72415394009335	0.625
61	2.47042429382762	0.75
62	2.47042429382762	0.75
63	2.47042429382762	0.75
64	2.05018231455653	0.625
65	2.05018231455653	0.625
66	2.05018231455653	0.625
67	2.40514832972369	0.625
68	2.40514832972369	0.625
69	2.40514832972369	0.625
70	1.70198384120078	0.5
71	1.70198384120078	0.5
72	1.70198384120078	0.5
73	2.5361174453145	0.75
74	2.5361174453145	0.75
75	2.5361174453145	0.75
76	2.11587546604341	0.625
77	2.11587546604341	0.625
78	2.11587546604341	0.625
79	2.42731842861626	0.625
80	2.42731842861626	0.625
81	2.42731842861626	0.625
