group	x	y	showSelected2
1	2.5791542507711	1	round.aum prop.finite 2.6 1
2	2.5791542507711	1	prop.finite round.auc 1 0.3333
3	2.5791542507711	1	round.aum round.auc 2.6 0.3333
4	2.10301813671137	0.875	round.aum prop.finite 2.2 0.875
5	2.10301813671137	0.875	prop.finite round.auc 0.875 0.3333
6	2.10301813671137	0.875	round.aum round.auc 2.2 0.3333
7	2.47042429382762	0.875	round.aum prop.finite 2.4 0.875
8	2.47042429382762	0.875	prop.finite round.auc 0.875 0.25
9	2.47042429382762	0.875	round.aum round.auc 2.4 0.25
10	1.72930728786448	0.75	round.aum prop.finite 1.8 0.75
11	1.72930728786448	0.75	prop.finite round.auc 0.75 0.25
12	1.72930728786448	0.75	round.aum round.auc 1.8 0.25
13	2.5791542507711	0.875	round.aum prop.finite 2.6 0.875
14	2.5791542507711	0.875	prop.finite round.auc 0.875 0.5833
15	2.5791542507711	0.875	round.aum round.auc 2.6 0.5833
16	2.10301813671137	0.75	round.aum prop.finite 2.2 0.75
17	2.10301813671137	0.75	prop.finite round.auc 0.75 0.5
18	2.10301813671137	0.75	round.aum round.auc 2.2 0.5
19	2.47042429382762	0.75	round.aum prop.finite 2.4 0.75
20	2.47042429382762	0.75	prop.finite round.auc 0.75 0.3333
21	2.47042429382762	0.75	round.aum round.auc 2.4 0.3333
22	1.72930728786448	0.625	round.aum prop.finite 1.8 0.625
23	1.72930728786448	0.625	prop.finite round.auc 0.625 0.25
24	1.72930728786448	0.625	round.aum round.auc 1.8 0.25
25	2.5791542507711	0.875	round.aum prop.finite 2.6 0.875
26	2.5791542507711	0.875	prop.finite round.auc 0.875 0.3333
27	2.5791542507711	0.875	round.aum round.auc 2.6 0.3333
28	2.10301813671137	0.75	round.aum prop.finite 2.2 0.75
29	2.10301813671137	0.75	prop.finite round.auc 0.75 0.3333
30	2.10301813671137	0.75	round.aum round.auc 2.2 0.3333
31	2.47042429382762	0.75	round.aum prop.finite 2.4 0.75
32	2.47042429382762	0.75	prop.finite round.auc 0.75 0.4167
33	2.47042429382762	0.75	round.aum round.auc 2.4 0.4167
34	1.72930728786448	0.625	round.aum prop.finite 1.8 0.625
35	1.72930728786448	0.625	prop.finite round.auc 0.625 0.4167
36	1.72930728786448	0.625	round.aum round.auc 1.8 0.4167
37	2.5791542507711	0.75	round.aum prop.finite 2.6 0.75
38	2.5791542507711	0.75	prop.finite round.auc 0.75 0.5833
39	2.5791542507711	0.75	round.aum round.auc 2.6 0.5833
40	2.10301813671137	0.625	round.aum prop.finite 2.2 0.625
41	2.10301813671137	0.625	prop.finite round.auc 0.625 0.5
42	2.10301813671137	0.625	round.aum round.auc 2.2 0.5
43	2.47042429382762	0.625	round.aum prop.finite 2.4 0.625
44	2.47042429382762	0.625	prop.finite round.auc 0.625 0.5
45	2.47042429382762	0.625	round.aum round.auc 2.4 0.5
46	1.72930728786448	0.5	round.aum prop.finite 1.8 0.5
47	1.72930728786448	0.5	prop.finite round.auc 0.5 0.4167
48	1.72930728786448	0.5	round.aum round.auc 1.8 0.4167
49	2.5361174453145	0.875	round.aum prop.finite 2.6 0.875
50	2.5361174453145	0.875	prop.finite round.auc 0.875 0.5833
51	2.5361174453145	0.875	round.aum round.auc 2.6 0.5833
52	2.05998133125478	0.75	round.aum prop.finite 2 0.75
53	2.05998133125478	0.75	prop.finite round.auc 0.75 0.5833
54	2.05998133125478	0.75	round.aum round.auc 2 0.5833
55	2.45509124396252	0.75	round.aum prop.finite 2.4 0.75
56	2.45509124396252	0.75	prop.finite round.auc 0.75 0.3333
57	2.45509124396252	0.75	round.aum round.auc 2.4 0.3333
58	1.71397423799938	0.625	round.aum prop.finite 1.8 0.625
59	1.71397423799938	0.625	prop.finite round.auc 0.625 0.3333
60	1.71397423799938	0.625	round.aum round.auc 1.8 0.3333
61	2.47042429382762	0.75	round.aum prop.finite 2.4 0.75
62	2.47042429382762	0.75	prop.finite round.auc 0.75 0.8333
63	2.47042429382762	0.75	round.aum round.auc 2.4 0.8333
64	1.9942881797679	0.625	round.aum prop.finite 2 0.625
65	1.9942881797679	0.625	prop.finite round.auc 0.625 0.75
66	1.9942881797679	0.625	round.aum round.auc 2 0.75
67	2.34925419493506	0.625	round.aum prop.finite 2.4 0.625
68	2.34925419493506	0.625	prop.finite round.auc 0.625 0.4167
69	2.34925419493506	0.625	round.aum round.auc 2.4 0.4167
70	1.60813718897192	0.5	round.aum prop.finite 1.6 0.5
71	1.60813718897192	0.5	prop.finite round.auc 0.5 0.3333
72	1.60813718897192	0.5	round.aum round.auc 1.6 0.3333
73	2.5361174453145	0.75	round.aum prop.finite 2.6 0.75
74	2.5361174453145	0.75	prop.finite round.auc 0.75 0.5833
75	2.5361174453145	0.75	round.aum round.auc 2.6 0.5833
76	2.05998133125478	0.625	round.aum prop.finite 2 0.625
77	2.05998133125478	0.625	prop.finite round.auc 0.625 0.5833
78	2.05998133125478	0.625	round.aum round.auc 2 0.5833
79	2.45509124396252	0.625	round.aum prop.finite 2.4 0.625
80	2.45509124396252	0.625	prop.finite round.auc 0.625 0.5
81	2.45509124396252	0.625	round.aum round.auc 2.4 0.5
82	1.71397423799938	0.5	round.aum prop.finite 1.8 0.5
83	1.71397423799938	0.5	prop.finite round.auc 0.5 0.5
84	1.71397423799938	0.5	round.aum round.auc 1.8 0.5
85	2.47042429382762	0.625	round.aum prop.finite 2.4 0.625
86	2.47042429382762	0.625	prop.finite round.auc 0.625 0.8333
87	2.47042429382762	0.625	round.aum round.auc 2.4 0.8333
88	1.9942881797679	0.5	round.aum prop.finite 2 0.5
89	1.9942881797679	0.5	prop.finite round.auc 0.5 0.75
90	1.9942881797679	0.5	round.aum round.auc 2 0.75
91	2.34925419493506	0.5	round.aum prop.finite 2.4 0.5
92	2.34925419493506	0.5	prop.finite round.auc 0.5 0.5833
93	2.34925419493506	0.5	round.aum round.auc 2.4 0.5833
94	1.60813718897192	0.375	round.aum prop.finite 1.6 0.375
95	1.60813718897192	0.375	prop.finite round.auc 0.375 0.5
96	1.60813718897192	0.375	round.aum round.auc 1.6 0.5
97	2.5791542507711	0.875	round.aum prop.finite 2.6 0.875
98	2.5791542507711	0.875	prop.finite round.auc 0.875 0.3333
99	2.5791542507711	0.875	round.aum round.auc 2.6 0.3333
100	2.10301813671137	0.75	round.aum prop.finite 2.2 0.75
101	2.10301813671137	0.75	prop.finite round.auc 0.75 0.3333
102	2.10301813671137	0.75	round.aum round.auc 2.2 0.3333
103	2.47042429382762	0.75	round.aum prop.finite 2.4 0.75
104	2.47042429382762	0.75	prop.finite round.auc 0.75 0.4167
105	2.47042429382762	0.75	round.aum round.auc 2.4 0.4167
106	1.72930728786448	0.625	round.aum prop.finite 1.8 0.625
107	1.72930728786448	0.625	prop.finite round.auc 0.625 0.4167
108	1.72930728786448	0.625	round.aum round.auc 1.8 0.4167
109	2.5791542507711	0.75	round.aum prop.finite 2.6 0.75
110	2.5791542507711	0.75	prop.finite round.auc 0.75 0.5833
111	2.5791542507711	0.75	round.aum round.auc 2.6 0.5833
112	2.10301813671137	0.625	round.aum prop.finite 2.2 0.625
113	2.10301813671137	0.625	prop.finite round.auc 0.625 0.5
114	2.10301813671137	0.625	round.aum round.auc 2.2 0.5
115	2.47042429382762	0.625	round.aum prop.finite 2.4 0.625
116	2.47042429382762	0.625	prop.finite round.auc 0.625 0.5
117	2.47042429382762	0.625	round.aum round.auc 2.4 0.5
118	1.72930728786448	0.5	round.aum prop.finite 1.8 0.5
119	1.72930728786448	0.5	prop.finite round.auc 0.5 0.4167
120	1.72930728786448	0.5	round.aum round.auc 1.8 0.4167
121	2.5791542507711	0.75	round.aum prop.finite 2.6 0.75
122	2.5791542507711	0.75	prop.finite round.auc 0.75 0.3333
123	2.5791542507711	0.75	round.aum round.auc 2.6 0.3333
124	2.10301813671137	0.625	round.aum prop.finite 2.2 0.625
125	2.10301813671137	0.625	prop.finite round.auc 0.625 0.3333
126	2.10301813671137	0.625	round.aum round.auc 2.2 0.3333
127	2.47042429382762	0.625	round.aum prop.finite 2.4 0.625
128	2.47042429382762	0.625	prop.finite round.auc 0.625 0.5833
129	2.47042429382762	0.625	round.aum round.auc 2.4 0.5833
130	1.72930728786448	0.5	round.aum prop.finite 1.8 0.5
131	1.72930728786448	0.5	prop.finite round.auc 0.5 0.5833
132	1.72930728786448	0.5	round.aum round.auc 1.8 0.5833
133	2.5791542507711	0.625	round.aum prop.finite 2.6 0.625
134	2.5791542507711	0.625	prop.finite round.auc 0.625 0.5833
135	2.5791542507711	0.625	round.aum round.auc 2.6 0.5833
136	2.10301813671137	0.5	round.aum prop.finite 2.2 0.5
137	2.10301813671137	0.5	prop.finite round.auc 0.5 0.5
138	2.10301813671137	0.5	round.aum round.auc 2.2 0.5
139	2.47042429382762	0.5	round.aum prop.finite 2.4 0.5
140	2.47042429382762	0.5	prop.finite round.auc 0.5 0.6667
141	2.47042429382762	0.5	round.aum round.auc 2.4 0.6667
142	1.72930728786448	0.375	round.aum prop.finite 1.8 0.375
143	1.72930728786448	0.375	prop.finite round.auc 0.375 0.5833
144	1.72930728786448	0.375	round.aum round.auc 1.8 0.5833
145	2.5361174453145	0.75	round.aum prop.finite 2.6 0.75
146	2.5361174453145	0.75	prop.finite round.auc 0.75 0.5833
147	2.5361174453145	0.75	round.aum round.auc 2.6 0.5833
148	2.05998133125478	0.625	round.aum prop.finite 2 0.625
149	2.05998133125478	0.625	prop.finite round.auc 0.625 0.5833
150	2.05998133125478	0.625	round.aum round.auc 2 0.5833
151	2.45509124396252	0.625	round.aum prop.finite 2.4 0.625
152	2.45509124396252	0.625	prop.finite round.auc 0.625 0.5
153	2.45509124396252	0.625	round.aum round.auc 2.4 0.5
154	1.71397423799938	0.5	round.aum prop.finite 1.8 0.5
155	1.71397423799938	0.5	prop.finite round.auc 0.5 0.5
156	1.71397423799938	0.5	round.aum round.auc 1.8 0.5
157	2.47042429382762	0.625	round.aum prop.finite 2.4 0.625
158	2.47042429382762	0.625	prop.finite round.auc 0.625 0.8333
159	2.47042429382762	0.625	round.aum round.auc 2.4 0.8333
160	1.9942881797679	0.5	round.aum prop.finite 2 0.5
161	1.9942881797679	0.5	prop.finite round.auc 0.5 0.75
162	1.9942881797679	0.5	round.aum round.auc 2 0.75
163	2.29106680378347	0.5	round.aum prop.finite 2.2 0.5
164	2.29106680378347	0.5	prop.finite round.auc 0.5 0.5833
