group	colour	fill	tooltip
121	#000000	#FFEBE4	7 combos with Prop. predictions in finite interval=0.75, Area under ROC curve=0.6667 for size 1
122	#000000	#FFF9F7	2 combos with Prop. predictions in finite interval=0.75, Area under ROC curve=0.75 for size 1
123	#000000	#FFF9F7	2 combos with Prop. predictions in finite interval=0.75, Area under ROC curve=0.8333 for size 1
124	#FFFFFF	#FFFFFF	0 combos with Prop. predictions in finite interval=0.75, Area under ROC curve=1 for size 1
125	#FFFFFF	#FFFFFF	0 combos with Prop. predictions in finite interval=0.75, Area under ROC curve=1.1667 for size 1
126	#FFFFFF	#FFFFFF	0 combos with Prop. predictions in finite interval=0.875, Area under ROC curve=0.25 for size 1
127	#000000	#FFFCFB	1 combos with Prop. predictions in finite interval=0.875, Area under ROC curve=0.3333 for size 1
128	#000000	#FFF9F7	2 combos with Prop. predictions in finite interval=0.875, Area under ROC curve=0.4167 for size 1
129	#000000	#FFF4EF	4 combos with Prop. predictions in finite interval=0.875, Area under ROC curve=0.5 for size 1
130	#FFFFFF	#FFFFFF	0 combos with Prop. predictions in finite interval=0.875, Area under ROC curve=0.5833 for size 1
131	#000000	#FFFCFB	1 combos with Prop. predictions in finite interval=0.875, Area under ROC curve=0.6667 for size 1
132	#FFFFFF	#FFFFFF	0 combos with Prop. predictions in finite interval=0.875, Area under ROC curve=0.75 for size 1
133	#000000	#FFFCFB	1 combos with Prop. predictions in finite interval=1, Area under ROC curve=0.3333 for size 1
134	#FFFFFF	#FFFFFF	0 combos with Area under both=0, Area under ROC curve=0.8333 for size 1
135	#000000	#FF997C	35 combos with Area under both=0, Area under ROC curve=1 for size 1
136	#FFFFFF	#FFFFFF	0 combos with Area under both=0.2, Area under ROC curve=0.5 for size 1
137	#FFFFFF	#FFFFFF	0 combos with Area under both=0.2, Area under ROC curve=0.6667 for size 1
138	#FFFFFF	#FFFFFF	0 combos with Area under both=0.2, Area under ROC curve=0.75 for size 1
139	#FFFFFF	#FFFFFF	0 combos with Area under both=0.2, Area under ROC curve=0.8333 for size 1
140	#FFFFFF	#FFFFFF	0 combos with Area under both=0.2, Area under ROC curve=0.9167 for size 1
141	#000000	#FFEBE4	7 combos with Area under both=0.2, Area under ROC curve=1 for size 1
142	#FFFFFF	#FFFFFF	0 combos with Area under both=0.2, Area under ROC curve=1.0833 for size 1
143	#FFFFFF	#FFFFFF	0 combos with Area under both=0.4, Area under ROC curve=0.4167 for size 1
144	#FFFFFF	#FFFFFF	0 combos with Area under both=0.4, Area under ROC curve=0.5 for size 1
145	#FFFFFF	#FFFFFF	0 combos with Area under both=0.4, Area under ROC curve=0.5833 for size 1
146	#FFFFFF	#FFFFFF	0 combos with Area under both=0.4, Area under ROC curve=0.6667 for size 1
147	#FFFFFF	#FFFFFF	0 combos with Area under both=0.4, Area under ROC curve=0.75 for size 1
148	#000000	#FFE8E0	8 combos with Area under both=0.4, Area under ROC curve=0.8333 for size 1
149	#000000	#FFD1C2	16 combos with Area under both=0.4, Area under ROC curve=0.9167 for size 1
150	#FFFFFF	#FFFFFF	0 combos with Area under both=0.4, Area under ROC curve=1.0833 for size 1
151	#FFFFFF	#FFFFFF	0 combos with Area under both=0.4, Area under ROC curve=1.1667 for size 1
152	#FFFFFF	#FFFFFF	0 combos with Area under both=0.6, Area under ROC curve=0.4167 for size 1
153	#FFFFFF	#FFFFFF	0 combos with Area under both=0.6, Area under ROC curve=0.5 for size 1
154	#FFFFFF	#FFFFFF	0 combos with Area under both=0.6, Area under ROC curve=0.5833 for size 1
155	#FFFFFF	#FFFFFF	0 combos with Area under both=0.6, Area under ROC curve=0.6667 for size 1
156	#FFFFFF	#FFFFFF	0 combos with Area under both=0.6, Area under ROC curve=0.75 for size 1
157	#000000	#FF997C	35 combos with Area under both=0.6, Area under ROC curve=0.8333 for size 1
158	#000000	#FFE8E0	8 combos with Area under both=0.6, Area under ROC curve=0.9167 for size 1
159	#000000	#FFF9F7	2 combos with Area under both=0.6, Area under ROC curve=1 for size 1
160	#FFFFFF	#FFFFFF	0 combos with Area under both=0.6, Area under ROC curve=1.0833 for size 1
161	#FFFFFF	#FFFFFF	0 combos with Area under both=0.6, Area under ROC curve=1.1667 for size 1
162	#FFFFFF	#FFFFFF	0 combos with Area under both=0.8, Area under ROC curve=0.5 for size 1
163	#FFFFFF	#FFFFFF	0 combos with Area under both=0.8, Area under ROC curve=0.5833 for size 1
164	#000000	#FFF9F7	2 combos with Area under both=0.8, Area under ROC curve=0.6667 for size 1
165	#000000	#FFE8E0	8 combos with Area under both=0.8, Area under ROC curve=0.75 for size 1
166	#000000	#FFDACD	13 combos with Area under both=0.8, Area under ROC curve=0.8333 for size 1
167	#000000	#FFF4EF	4 combos with Area under both=0.8, Area under ROC curve=0.9167 for size 1
168	#FFFFFF	#FFFFFF	0 combos with Area under both=0.8, Area under ROC curve=1 for size 1
169	#FFFFFF	#FFFFFF	0 combos with Area under both=1, Area under ROC curve=0.3333 for size 1
170	#FFFFFF	#FFFFFF	0 combos with Area under both=1, Area under ROC curve=0.4167 for size 1
171	#000000	#FFF9F7	2 combos with Area under both=1, Area under ROC curve=0.5 for size 1
172	#000000	#FFF4EF	4 combos with Area under both=1, Area under ROC curve=0.5833 for size 1
173	#000000	#FFEEE8	6 combos with Area under both=1, Area under ROC curve=0.6667 for size 1
