group	x	y	showSelected2
1	2.5791542507711	1	round.aum prop.finite 2.6 1
2	2.5791542507711	1	prop.finite round.auc 1 0.3333
3	2.5791542507711	1	round.aum round.auc 2.6 0.3333
4	1.82367432945404	0.875	round.aum prop.finite 1.8 0.875
5	1.82367432945404	0.875	prop.finite round.auc 0.875 0.6667
6	1.82367432945404	0.875	round.aum round.auc 1.8 0.6667
7	2.21878424216178	0.875	round.aum prop.finite 2.2 0.875
8	2.21878424216178	0.875	prop.finite round.auc 0.875 0.5
9	2.21878424216178	0.875	round.aum round.auc 2.2 0.5
10	0.577667236198642	0.75	round.aum prop.finite 0.6 0.75
11	0.577667236198642	0.75	prop.finite round.auc 0.75 0.8333
12	0.577667236198642	0.75	round.aum round.auc 0.6 0.8333
13	2.5791542507711	0.875	round.aum prop.finite 2.6 0.875
14	2.5791542507711	0.875	prop.finite round.auc 0.875 0.5
15	2.5791542507711	0.875	round.aum round.auc 2.6 0.5
16	1.82367432945404	0.75	round.aum prop.finite 1.8 0.75
17	1.82367432945404	0.75	prop.finite round.auc 0.75 0.75
18	1.82367432945404	0.75	round.aum round.auc 1.8 0.75
19	2.21878424216178	0.75	round.aum prop.finite 2.2 0.75
20	2.21878424216178	0.75	prop.finite round.auc 0.75 0.5833
21	2.21878424216178	0.75	round.aum round.auc 2.2 0.5833
22	0.577667236198642	0.625	round.aum prop.finite 0.6 0.625
23	0.577667236198642	0.625	prop.finite round.auc 0.625 0.8333
24	0.577667236198642	0.625	round.aum round.auc 0.6 0.8333
25	2.5791542507711	0.875	round.aum prop.finite 2.6 0.875
26	2.5791542507711	0.875	prop.finite round.auc 0.875 0.4167
27	2.5791542507711	0.875	round.aum round.auc 2.6 0.4167
28	1.82367432945404	0.75	round.aum prop.finite 1.8 0.75
29	1.82367432945404	0.75	prop.finite round.auc 0.75 0.6667
30	1.82367432945404	0.75	round.aum round.auc 1.8 0.6667
31	2.21878424216178	0.75	round.aum prop.finite 2.2 0.75
32	2.21878424216178	0.75	prop.finite round.auc 0.75 0.5833
33	2.21878424216178	0.75	round.aum round.auc 2.2 0.5833
34	0.577667236198642	0.625	round.aum prop.finite 0.6 0.625
35	0.577667236198642	0.625	prop.finite round.auc 0.625 0.8333
36	0.577667236198642	0.625	round.aum round.auc 0.6 0.8333
37	2.5791542507711	0.75	round.aum prop.finite 2.6 0.75
38	2.5791542507711	0.75	prop.finite round.auc 0.75 0.5833
39	2.5791542507711	0.75	round.aum round.auc 2.6 0.5833
40	1.82367432945404	0.625	round.aum prop.finite 1.8 0.625
41	1.82367432945404	0.625	prop.finite round.auc 0.625 0.75
42	1.82367432945404	0.625	round.aum round.auc 1.8 0.75
43	2.21878424216178	0.625	round.aum prop.finite 2.2 0.625
44	2.21878424216178	0.625	prop.finite round.auc 0.625 0.6667
45	2.21878424216178	0.625	round.aum round.auc 2.2 0.6667
46	0.577667236198642	0.5	round.aum prop.finite 0.6 0.5
47	0.577667236198642	0.5	prop.finite round.auc 0.5 0.8333
48	0.577667236198642	0.5	round.aum round.auc 0.6 0.8333
49	2.5361174453145	0.875	round.aum prop.finite 2.6 0.875
50	2.5361174453145	0.875	prop.finite round.auc 0.875 0.5
51	2.5361174453145	0.875	round.aum round.auc 2.6 0.5
52	1.82367432945404	0.75	round.aum prop.finite 1.8 0.75
53	1.82367432945404	0.75	prop.finite round.auc 0.75 0.75
54	1.82367432945404	0.75	round.aum round.auc 1.8 0.75
55	2.21878424216178	0.75	round.aum prop.finite 2.2 0.75
56	2.21878424216178	0.75	prop.finite round.auc 0.75 0.5833
57	2.21878424216178	0.75	round.aum round.auc 2.2 0.5833
58	0.577667236198642	0.625	round.aum prop.finite 0.6 0.625
59	0.577667236198642	0.625	prop.finite round.auc 0.625 0.8333
60	0.577667236198642	0.625	round.aum round.auc 0.6 0.8333
61	2.47042429382762	0.75	round.aum prop.finite 2.4 0.75
62	2.47042429382762	0.75	prop.finite round.auc 0.75 0.6667
63	2.47042429382762	0.75	round.aum round.auc 2.4 0.6667
64	1.82367432945404	0.625	round.aum prop.finite 1.8 0.625
65	1.82367432945404	0.625	prop.finite round.auc 0.625 0.8333
66	1.82367432945404	0.625	round.aum round.auc 1.8 0.8333
67	2.21878424216178	0.625	round.aum prop.finite 2.2 0.625
68	2.21878424216178	0.625	prop.finite round.auc 0.625 0.6667
69	2.21878424216178	0.625	round.aum round.auc 2.2 0.6667
70	0.577667236198642	0.5	round.aum prop.finite 0.6 0.5
71	0.577667236198642	0.5	prop.finite round.auc 0.5 0.8333
72	0.577667236198642	0.5	round.aum round.auc 0.6 0.8333
73	2.5361174453145	0.75	round.aum prop.finite 2.6 0.75
74	2.5361174453145	0.75	prop.finite round.auc 0.75 0.5833
75	2.5361174453145	0.75	round.aum round.auc 2.6 0.5833
76	1.82367432945404	0.625	round.aum prop.finite 1.8 0.625
77	1.82367432945404	0.625	prop.finite round.auc 0.625 0.75
78	1.82367432945404	0.625	round.aum round.auc 1.8 0.75
79	2.21878424216178	0.625	round.aum prop.finite 2.2 0.625
80	2.21878424216178	0.625	prop.finite round.auc 0.625 0.6667
81	2.21878424216178	0.625	round.aum round.auc 2.2 0.6667
82	0.577667236198642	0.5	round.aum prop.finite 0.6 0.5
83	0.577667236198642	0.5	prop.finite round.auc 0.5 0.8333
84	0.577667236198642	0.5	round.aum round.auc 0.6 0.8333
85	2.47042429382762	0.625	round.aum prop.finite 2.4 0.625
86	2.47042429382762	0.625	prop.finite round.auc 0.625 0.75
87	2.47042429382762	0.625	round.aum round.auc 2.4 0.75
88	1.82367432945404	0.5	round.aum prop.finite 1.8 0.5
89	1.82367432945404	0.5	prop.finite round.auc 0.5 0.8333
90	1.82367432945404	0.5	round.aum round.auc 1.8 0.8333
91	2.21878424216178	0.5	round.aum prop.finite 2.2 0.5
92	2.21878424216178	0.5	prop.finite round.auc 0.5 0.75
93	2.21878424216178	0.5	round.aum round.auc 2.2 0.75
94	0.577667236198642	0.375	round.aum prop.finite 0.6 0.375
95	0.577667236198642	0.375	prop.finite round.auc 0.375 0.8333
96	0.577667236198642	0.375	round.aum round.auc 0.6 0.8333
97	2.5791542507711	0.875	round.aum prop.finite 2.6 0.875
98	2.5791542507711	0.875	prop.finite round.auc 0.875 0.4167
99	2.5791542507711	0.875	round.aum round.auc 2.6 0.4167
100	1.82367432945404	0.75	round.aum prop.finite 1.8 0.75
101	1.82367432945404	0.75	prop.finite round.auc 0.75 0.6667
102	1.82367432945404	0.75	round.aum round.auc 1.8 0.6667
103	2.21878424216178	0.75	round.aum prop.finite 2.2 0.75
104	2.21878424216178	0.75	prop.finite round.auc 0.75 0.5833
105	2.21878424216178	0.75	round.aum round.auc 2.2 0.5833
106	0.577667236198642	0.625	round.aum prop.finite 0.6 0.625
107	0.577667236198642	0.625	prop.finite round.auc 0.625 0.8333
108	0.577667236198642	0.625	round.aum round.auc 0.6 0.8333
109	2.5791542507711	0.75	round.aum prop.finite 2.6 0.75
110	2.5791542507711	0.75	prop.finite round.auc 0.75 0.5833
111	2.5791542507711	0.75	round.aum round.auc 2.6 0.5833
112	1.82367432945404	0.625	round.aum prop.finite 1.8 0.625
113	1.82367432945404	0.625	prop.finite round.auc 0.625 0.75
114	1.82367432945404	0.625	round.aum round.auc 1.8 0.75
115	2.21878424216178	0.625	round.aum prop.finite 2.2 0.625
116	2.21878424216178	0.625	prop.finite round.auc 0.625 0.6667
117	2.21878424216178	0.625	round.aum round.auc 2.2 0.6667
118	0.577667236198642	0.5	round.aum prop.finite 0.6 0.5
119	0.577667236198642	0.5	prop.finite round.auc 0.5 0.8333
120	0.577667236198642	0.5	round.aum round.auc 0.6 0.8333
121	2.5791542507711	0.75	round.aum prop.finite 2.6 0.75
122	2.5791542507711	0.75	prop.finite round.auc 0.75 0.5
123	2.5791542507711	0.75	round.aum round.auc 2.6 0.5
124	1.82367432945404	0.625	round.aum prop.finite 1.8 0.625
125	1.82367432945404	0.625	prop.finite round.auc 0.625 0.6667
126	1.82367432945404	0.625	round.aum round.auc 1.8 0.6667
127	2.21878424216178	0.625	round.aum prop.finite 2.2 0.625
128	2.21878424216178	0.625	prop.finite round.auc 0.625 0.6667
129	2.21878424216178	0.625	round.aum round.auc 2.2 0.6667
130	0.577667236198642	0.5	round.aum prop.finite 0.6 0.5
131	0.577667236198642	0.5	prop.finite round.auc 0.5 0.8333
132	0.577667236198642	0.5	round.aum round.auc 0.6 0.8333
133	2.5791542507711	0.625	round.aum prop.finite 2.6 0.625
134	2.5791542507711	0.625	prop.finite round.auc 0.625 0.6667
135	2.5791542507711	0.625	round.aum round.auc 2.6 0.6667
136	1.82367432945404	0.5	round.aum prop.finite 1.8 0.5
137	1.82367432945404	0.5	prop.finite round.auc 0.5 0.75
138	1.82367432945404	0.5	round.aum round.auc 1.8 0.75
139	2.21878424216178	0.5	round.aum prop.finite 2.2 0.5
140	2.21878424216178	0.5	prop.finite round.auc 0.5 0.75
141	2.21878424216178	0.5	round.aum round.auc 2.2 0.75
142	0.577667236198642	0.375	round.aum prop.finite 0.6 0.375
143	0.577667236198642	0.375	prop.finite round.auc 0.375 0.8333
144	0.577667236198642	0.375	round.aum round.auc 0.6 0.8333
145	2.5361174453145	0.75	round.aum prop.finite 2.6 0.75
146	2.5361174453145	0.75	prop.finite round.auc 0.75 0.5833
147	2.5361174453145	0.75	round.aum round.auc 2.6 0.5833
148	1.82367432945404	0.625	round.aum prop.finite 1.8 0.625
149	1.82367432945404	0.625	prop.finite round.auc 0.625 0.75
150	1.82367432945404	0.625	round.aum round.auc 1.8 0.75
151	2.21878424216178	0.625	round.aum prop.finite 2.2 0.625
152	2.21878424216178	0.625	prop.finite round.auc 0.625 0.6667
153	2.21878424216178	0.625	round.aum round.auc 2.2 0.6667
154	0.577667236198642	0.5	round.aum prop.finite 0.6 0.5
155	0.577667236198642	0.5	prop.finite round.auc 0.5 0.8333
156	0.577667236198642	0.5	round.aum round.auc 0.6 0.8333
157	2.47042429382762	0.625	round.aum prop.finite 2.4 0.625
158	2.47042429382762	0.625	prop.finite round.auc 0.625 0.75
159	2.47042429382762	0.625	round.aum round.auc 2.4 0.75
160	1.82367432945404	0.5	round.aum prop.finite 1.8 0.5
161	1.82367432945404	0.5	prop.finite round.auc 0.5 0.8333
162	1.82367432945404	0.5	round.aum round.auc 1.8 0.8333
163	2.21878424216178	0.5	round.aum prop.finite 2.2 0.5
