x	y	key	clickSelects	PANEL	group
0	0	0 0	round.aum prop.finite 0 0	2	1
0	0.125	0 0.125	round.aum prop.finite 0 0.125	2	2
0	0.25	0 0.25	round.aum prop.finite 0 0.25	2	3
0	0.375	0 0.375	round.aum prop.finite 0 0.375	2	4
0	0.5	0 0.5	round.aum prop.finite 0 0.5	2	5
0	0.625	0 0.625	round.aum prop.finite 0 0.625	2	6
0	0.75	0 0.75	round.aum prop.finite 0 0.75	2	7
0.2	0.125	0.2 0.125	round.aum prop.finite 0.2 0.125	2	8
0.2	0.25	0.2 0.25	round.aum prop.finite 0.2 0.25	2	9
0.2	0.375	0.2 0.375	round.aum prop.finite 0.2 0.375	2	10
0.2	0.5	0.2 0.5	round.aum prop.finite 0.2 0.5	2	11
0.4	0.125	0.4 0.125	round.aum prop.finite 0.4 0.125	2	12
0.4	0.25	0.4 0.25	round.aum prop.finite 0.4 0.25	2	13
0.4	0.375	0.4 0.375	round.aum prop.finite 0.4 0.375	2	14
0.4	0.5	0.4 0.5	round.aum prop.finite 0.4 0.5	2	15
0.4	0.625	0.4 0.625	round.aum prop.finite 0.4 0.625	2	16
0.4	0.75	0.4 0.75	round.aum prop.finite 0.4 0.75	2	17
0.6	0.125	0.6 0.125	round.aum prop.finite 0.6 0.125	2	18
0.6	0.25	0.6 0.25	round.aum prop.finite 0.6 0.25	2	19
0.6	0.375	0.6 0.375	round.aum prop.finite 0.6 0.375	2	20
0.6	0.5	0.6 0.5	round.aum prop.finite 0.6 0.5	2	21
0.6	0.625	0.6 0.625	round.aum prop.finite 0.6 0.625	2	22
0.6	0.75	0.6 0.75	round.aum prop.finite 0.6 0.75	2	23
0.8	0.25	0.8 0.25	round.aum prop.finite 0.8 0.25	2	24
0.8	0.375	0.8 0.375	round.aum prop.finite 0.8 0.375	2	25
0.8	0.5	0.8 0.5	round.aum prop.finite 0.8 0.5	2	26
0.8	0.625	0.8 0.625	round.aum prop.finite 0.8 0.625	2	27
0.8	0.75	0.8 0.75	round.aum prop.finite 0.8 0.75	2	28
1	0.375	1 0.375	round.aum prop.finite 1 0.375	2	29
1	0.5	1 0.5	round.aum prop.finite 1 0.5	2	30
1	0.625	1 0.625	round.aum prop.finite 1 0.625	2	31
1	0.75	1 0.75	round.aum prop.finite 1 0.75	2	32
1	0.875	1 0.875	round.aum prop.finite 1 0.875	2	33
1.4	0.125	1.4 0.125	round.aum prop.finite 1.4 0.125	2	34
1.6	0.125	1.6 0.125	round.aum prop.finite 1.6 0.125	2	35
1.6	0.25	1.6 0.25	round.aum prop.finite 1.6 0.25	2	36
1.6	0.375	1.6 0.375	round.aum prop.finite 1.6 0.375	2	37
1.6	0.5	1.6 0.5	round.aum prop.finite 1.6 0.5	2	38
1.8	0.25	1.8 0.25	round.aum prop.finite 1.8 0.25	2	39
1.8	0.375	1.8 0.375	round.aum prop.finite 1.8 0.375	2	40
1.8	0.5	1.8 0.5	round.aum prop.finite 1.8 0.5	2	41
1.8	0.625	1.8 0.625	round.aum prop.finite 1.8 0.625	2	42
1.8	0.75	1.8 0.75	round.aum prop.finite 1.8 0.75	2	43
1.8	0.875	1.8 0.875	round.aum prop.finite 1.8 0.875	2	44
2	0.25	2 0.25	round.aum prop.finite 2 0.25	2	45
2	0.375	2 0.375	round.aum prop.finite 2 0.375	2	46
2	0.5	2 0.5	round.aum prop.finite 2 0.5	2	47
2	0.625	2 0.625	round.aum prop.finite 2 0.625	2	48
2	0.75	2 0.75	round.aum prop.finite 2 0.75	2	49
2.2	0.25	2.2 0.25	round.aum prop.finite 2.2 0.25	2	50
2.2	0.375	2.2 0.375	round.aum prop.finite 2.2 0.375	2	51
2.2	0.5	2.2 0.5	round.aum prop.finite 2.2 0.5	2	52
2.2	0.625	2.2 0.625	round.aum prop.finite 2.2 0.625	2	53
