x	y	key	clickSelects	PANEL	group
2.2	0.75	2.2 0.75	round.aum prop.finite 2.2 0.75	2	54
2.2	0.875	2.2 0.875	round.aum prop.finite 2.2 0.875	2	55
2.4	0.375	2.4 0.375	round.aum prop.finite 2.4 0.375	2	56
2.4	0.5	2.4 0.5	round.aum prop.finite 2.4 0.5	2	57
2.4	0.625	2.4 0.625	round.aum prop.finite 2.4 0.625	2	58
2.4	0.75	2.4 0.75	round.aum prop.finite 2.4 0.75	2	59
2.4	0.875	2.4 0.875	round.aum prop.finite 2.4 0.875	2	60
2.6	0.5	2.6 0.5	round.aum prop.finite 2.6 0.5	2	61
2.6	0.625	2.6 0.625	round.aum prop.finite 2.6 0.625	2	62
2.6	0.75	2.6 0.75	round.aum prop.finite 2.6 0.75	2	63
2.6	0.875	2.6 0.875	round.aum prop.finite 2.6 0.875	2	64
2.6	1	2.6 1	round.aum prop.finite 2.6 1	2	65
0	1	0 1	prop.finite round.auc 0 1	3	66
0.125	0.75	0.125 0.75	prop.finite round.auc 0.125 0.75	3	67
0.125	0.8333	0.125 0.8333	prop.finite round.auc 0.125 0.8333	3	68
0.125	0.9167	0.125 0.9167	prop.finite round.auc 0.125 0.9167	3	69
0.125	1	0.125 1	prop.finite round.auc 0.125 1	3	70
0.125	1.0833	0.125 1.0833	prop.finite round.auc 0.125 1.0833	3	71
0.25	0.5833	0.25 0.5833	prop.finite round.auc 0.25 0.5833	3	72
0.25	0.6667	0.25 0.6667	prop.finite round.auc 0.25 0.6667	3	73
0.25	0.75	0.25 0.75	prop.finite round.auc 0.25 0.75	3	74
0.25	0.8333	0.25 0.8333	prop.finite round.auc 0.25 0.8333	3	75
0.25	0.9167	0.25 0.9167	prop.finite round.auc 0.25 0.9167	3	76
0.25	1	0.25 1	prop.finite round.auc 0.25 1	3	77
0.25	1.0833	0.25 1.0833	prop.finite round.auc 0.25 1.0833	3	78
0.25	1.1667	0.25 1.1667	prop.finite round.auc 0.25 1.1667	3	79
0.375	0.4167	0.375 0.4167	prop.finite round.auc 0.375 0.4167	3	80
0.375	0.5	0.375 0.5	prop.finite round.auc 0.375 0.5	3	81
0.375	0.5833	0.375 0.5833	prop.finite round.auc 0.375 0.5833	3	82
0.375	0.6667	0.375 0.6667	prop.finite round.auc 0.375 0.6667	3	83
0.375	0.75	0.375 0.75	prop.finite round.auc 0.375 0.75	3	84
0.375	0.8333	0.375 0.8333	prop.finite round.auc 0.375 0.8333	3	85
0.375	0.9167	0.375 0.9167	prop.finite round.auc 0.375 0.9167	3	86
0.375	1	0.375 1	prop.finite round.auc 0.375 1	3	87
0.375	1.0833	0.375 1.0833	prop.finite round.auc 0.375 1.0833	3	88
0.375	1.1667	0.375 1.1667	prop.finite round.auc 0.375 1.1667	3	89
0.5	0.25	0.5 0.25	prop.finite round.auc 0.5 0.25	3	90
0.5	0.3333	0.5 0.3333	prop.finite round.auc 0.5 0.3333	3	91
0.5	0.4167	0.5 0.4167	prop.finite round.auc 0.5 0.4167	3	92
0.5	0.5	0.5 0.5	prop.finite round.auc 0.5 0.5	3	93
0.5	0.5833	0.5 0.5833	prop.finite round.auc 0.5 0.5833	3	94
0.5	0.6667	0.5 0.6667	prop.finite round.auc 0.5 0.6667	3	95
0.5	0.75	0.5 0.75	prop.finite round.auc 0.5 0.75	3	96
0.5	0.8333	0.5 0.8333	prop.finite round.auc 0.5 0.8333	3	97
0.5	0.9167	0.5 0.9167	prop.finite round.auc 0.5 0.9167	3	98
0.5	1	0.5 1	prop.finite round.auc 0.5 1	3	99
0.5	1.0833	0.5 1.0833	prop.finite round.auc 0.5 1.0833	3	100
0.5	1.1667	0.5 1.1667	prop.finite round.auc 0.5 1.1667	3	101
0.625	0.1667	0.625 0.1667	prop.finite round.auc 0.625 0.1667	3	102
0.625	0.25	0.625 0.25	prop.finite round.auc 0.625 0.25	3	103
0.625	0.3333	0.625 0.3333	prop.finite round.auc 0.625 0.3333	3	104
0.625	0.4167	0.625 0.4167	prop.finite round.auc 0.625 0.4167	3	105
0.625	0.5	0.625 0.5	prop.finite round.auc 0.625 0.5	3	106
0.625	0.5833	0.625 0.5833	prop.finite round.auc 0.625 0.5833	3	107
0.625	0.6667	0.625 0.6667	prop.finite round.auc 0.625 0.6667	3	108
0.625	0.75	0.625 0.75	prop.finite round.auc 0.625 0.75	3	109
0.625	0.8333	0.625 0.8333	prop.finite round.auc 0.625 0.8333	3	110
0.625	0.9167	0.625 0.9167	prop.finite round.auc 0.625 0.9167	3	111
0.625	1	0.625 1	prop.finite round.auc 0.625 1	3	112
0.625	1.0833	0.625 1.0833	prop.finite round.auc 0.625 1.0833	3	113
0.625	1.1667	0.625 1.1667	prop.finite round.auc 0.625 1.1667	3	114
0.75	0.1667	0.75 0.1667	prop.finite round.auc 0.75 0.1667	3	115
0.75	0.25	0.75 0.25	prop.finite round.auc 0.75 0.25	3	116
0.75	0.3333	0.75 0.3333	prop.finite round.auc 0.75 0.3333	3	117
0.75	0.4167	0.75 0.4167	prop.finite round.auc 0.75 0.4167	3	118
0.75	0.5	0.75 0.5	prop.finite round.auc 0.75 0.5	3	119
0.75	0.5833	0.75 0.5833	prop.finite round.auc 0.75 0.5833	3	120
0.75	0.6667	0.75 0.6667	prop.finite round.auc 0.75 0.6667	3	121
0.75	0.75	0.75 0.75	prop.finite round.auc 0.75 0.75	3	122
0.75	0.8333	0.75 0.8333	prop.finite round.auc 0.75 0.8333	3	123
0.75	1	0.75 1	prop.finite round.auc 0.75 1	3	124
0.75	1.1667	0.75 1.1667	prop.finite round.auc 0.75 1.1667	3	125
0.875	0.25	0.875 0.25	prop.finite round.auc 0.875 0.25	3	126
0.875	0.3333	0.875 0.3333	prop.finite round.auc 0.875 0.3333	3	127
0.875	0.4167	0.875 0.4167	prop.finite round.auc 0.875 0.4167	3	128
0.875	0.5	0.875 0.5	prop.finite round.auc 0.875 0.5	3	129
0.875	0.5833	0.875 0.5833	prop.finite round.auc 0.875 0.5833	3	130
0.875	0.6667	0.875 0.6667	prop.finite round.auc 0.875 0.6667	3	131
0.875	0.75	0.875 0.75	prop.finite round.auc 0.875 0.75	3	132
1	0.3333	1 0.3333	prop.finite round.auc 1 0.3333	3	133
0	0.8333	0 0.8333	round.aum round.auc 0 0.8333	4	134
0	1	0 1	round.aum round.auc 0 1	4	135
0.2	0.5	0.2 0.5	round.aum round.auc 0.2 0.5	4	136
0.2	0.6667	0.2 0.6667	round.aum round.auc 0.2 0.6667	4	137
0.2	0.75	0.2 0.75	round.aum round.auc 0.2 0.75	4	138
0.2	0.8333	0.2 0.8333	round.aum round.auc 0.2 0.8333	4	139
0.2	0.9167	0.2 0.9167	round.aum round.auc 0.2 0.9167	4	140
0.2	1	0.2 1	round.aum round.auc 0.2 1	4	141
0.2	1.0833	0.2 1.0833	round.aum round.auc 0.2 1.0833	4	142
0.4	0.4167	0.4 0.4167	round.aum round.auc 0.4 0.4167	4	143
0.4	0.5	0.4 0.5	round.aum round.auc 0.4 0.5	4	144
0.4	0.5833	0.4 0.5833	round.aum round.auc 0.4 0.5833	4	145
0.4	0.6667	0.4 0.6667	round.aum round.auc 0.4 0.6667	4	146
0.4	0.75	0.4 0.75	round.aum round.auc 0.4 0.75	4	147
0.4	0.8333	0.4 0.8333	round.aum round.auc 0.4 0.8333	4	148
0.4	0.9167	0.4 0.9167	round.aum round.auc 0.4 0.9167	4	149
0.4	1.0833	0.4 1.0833	round.aum round.auc 0.4 1.0833	4	150
0.4	1.1667	0.4 1.1667	round.aum round.auc 0.4 1.1667	4	151
0.6	0.4167	0.6 0.4167	round.aum round.auc 0.6 0.4167	4	152
0.6	0.5	0.6 0.5	round.aum round.auc 0.6 0.5	4	153
0.6	0.5833	0.6 0.5833	round.aum round.auc 0.6 0.5833	4	154
0.6	0.6667	0.6 0.6667	round.aum round.auc 0.6 0.6667	4	155
0.6	0.75	0.6 0.75	round.aum round.auc 0.6 0.75	4	156
0.6	0.8333	0.6 0.8333	round.aum round.auc 0.6 0.8333	4	157
0.6	0.9167	0.6 0.9167	round.aum round.auc 0.6 0.9167	4	158
0.6	1	0.6 1	round.aum round.auc 0.6 1	4	159
0.6	1.0833	0.6 1.0833	round.aum round.auc 0.6 1.0833	4	160
0.6	1.1667	0.6 1.1667	round.aum round.auc 0.6 1.1667	4	161
0.8	0.5	0.8 0.5	round.aum round.auc 0.8 0.5	4	162
0.8	0.5833	0.8 0.5833	round.aum round.auc 0.8 0.5833	4	163
0.8	0.6667	0.8 0.6667	round.aum round.auc 0.8 0.6667	4	164
0.8	0.75	0.8 0.75	round.aum round.auc 0.8 0.75	4	165
0.8	0.8333	0.8 0.8333	round.aum round.auc 0.8 0.8333	4	166
0.8	0.9167	0.8 0.9167	round.aum round.auc 0.8 0.9167	4	167
0.8	1	0.8 1	round.aum round.auc 0.8 1	4	168
1	0.3333	1 0.3333	round.aum round.auc 1 0.3333	4	169
1	0.4167	1 0.4167	round.aum round.auc 1 0.4167	4	170
1	0.5	1 0.5	round.aum round.auc 1 0.5	4	171
1	0.5833	1 0.5833	round.aum round.auc 1 0.5833	4	172
1	0.6667	1 0.6667	round.aum round.auc 1 0.6667	4	173
1	0.75	1 0.75	round.aum round.auc 1 0.75	4	174
1	0.8333	1 0.8333	round.aum round.auc 1 0.8333	4	175
1	0.9167	1 0.9167	round.aum round.auc 1 0.9167	4	176
1.4	0.8333	1.4 0.8333	round.aum round.auc 1.4 0.8333	4	177
1.6	0.3333	1.6 0.3333	round.aum round.auc 1.6 0.3333	4	178
1.6	0.5	1.6 0.5	round.aum round.auc 1.6 0.5	4	179
1.6	0.6667	1.6 0.6667	round.aum round.auc 1.6 0.6667	4	180
1.6	0.8333	1.6 0.8333	round.aum round.auc 1.6 0.8333	4	181
1.6	1	1.6 1	round.aum round.auc 1.6 1	4	182
1.6	1.0833	1.6 1.0833	round.aum round.auc 1.6 1.0833	4	183
1.8	0.25	1.8 0.25	round.aum round.auc 1.8 0.25	4	184
1.8	0.3333	1.8 0.3333	round.aum round.auc 1.8 0.3333	4	185
1.8	0.4167	1.8 0.4167	round.aum round.auc 1.8 0.4167	4	186
1.8	0.5	1.8 0.5	round.aum round.auc 1.8 0.5	4	187
1.8	0.5833	1.8 0.5833	round.aum round.auc 1.8 0.5833	4	188
1.8	0.6667	1.8 0.6667	round.aum round.auc 1.8 0.6667	4	189
1.8	0.75	1.8 0.75	round.aum round.auc 1.8 0.75	4	190
1.8	0.8333	1.8 0.8333	round.aum round.auc 1.8 0.8333	4	191
1.8	0.9167	1.8 0.9167	round.aum round.auc 1.8 0.9167	4	192
1.8	1	1.8 1	round.aum round.auc 1.8 1	4	193
1.8	1.0833	1.8 1.0833	round.aum round.auc 1.8 1.0833	4	194
1.8	1.1667	1.8 1.1667	round.aum round.auc 1.8 1.1667	4	195
2	0.5833	2 0.5833	round.aum round.auc 2 0.5833	4	196
2	0.6667	2 0.6667	round.aum round.auc 2 0.6667	4	197
2	0.75	2 0.75	round.aum round.auc 2 0.75	4	198
2	0.8333	2 0.8333	round.aum round.auc 2 0.8333	4	199
2.2	0.3333	2.2 0.3333	round.aum round.auc 2.2 0.3333	4	200
2.2	0.5	2.2 0.5	round.aum round.auc 2.2 0.5	4	201
2.2	0.5833	2.2 0.5833	round.aum round.auc 2.2 0.5833	4	202
2.2	0.6667	2.2 0.6667	round.aum round.auc 2.2 0.6667	4	203
2.2	0.75	2.2 0.75	round.aum round.auc 2.2 0.75	4	204
2.2	0.8333	2.2 0.8333	round.aum round.auc 2.2 0.8333	4	205
2.2	0.9167	2.2 0.9167	round.aum round.auc 2.2 0.9167	4	206
2.4	0.25	2.4 0.25	round.aum round.auc 2.4 0.25	4	207
2.4	0.3333	2.4 0.3333	round.aum round.auc 2.4 0.3333	4	208
2.4	0.4167	2.4 0.4167	round.aum round.auc 2.4 0.4167	4	209
2.4	0.5	2.4 0.5	round.aum round.auc 2.4 0.5	4	210
2.4	0.5833	2.4 0.5833	round.aum round.auc 2.4 0.5833	4	211
2.4	0.6667	2.4 0.6667	round.aum round.auc 2.4 0.6667	4	212
2.4	0.75	2.4 0.75	round.aum round.auc 2.4 0.75	4	213
2.4	0.8333	2.4 0.8333	round.aum round.auc 2.4 0.8333	4	214
2.6	0.1667	2.6 0.1667	round.aum round.auc 2.6 0.1667	4	215
2.6	0.25	2.6 0.25	round.aum round.auc 2.6 0.25	4	216
2.6	0.3333	2.6 0.3333	round.aum round.auc 2.6 0.3333	4	217
2.6	0.4167	2.6 0.4167	round.aum round.auc 2.6 0.4167	4	218
2.6	0.5	2.6 0.5	round.aum round.auc 2.6 0.5	4	219
2.6	0.5833	2.6 0.5833	round.aum round.auc 2.6 0.5833	4	220
2.6	0.6667	2.6 0.6667	round.aum round.auc 2.6 0.6667	4	221
