x	y	key	showSelected2	PANEL
0.25	0.8333	1	prop.finite round.auc 0.25 0.8333	3
0.25	0.9167	1	prop.finite round.auc 0.25 0.9167	3
0.25	1	1	prop.finite round.auc 0.25 1	3
0.25	1.0833	1	prop.finite round.auc 0.25 1.0833	3
0.25	1.1667	1	prop.finite round.auc 0.25 1.1667	3
0.375	0.4167	1	prop.finite round.auc 0.375 0.4167	3
0.375	0.5	1	prop.finite round.auc 0.375 0.5	3
0.375	0.5833	1	prop.finite round.auc 0.375 0.5833	3
0.375	0.6667	1	prop.finite round.auc 0.375 0.6667	3
0.375	0.75	1	prop.finite round.auc 0.375 0.75	3
0.375	0.8333	1	prop.finite round.auc 0.375 0.8333	3
0.375	0.9167	1	prop.finite round.auc 0.375 0.9167	3
0.375	1	1	prop.finite round.auc 0.375 1	3
0.375	1.0833	1	prop.finite round.auc 0.375 1.0833	3
0.375	1.1667	1	prop.finite round.auc 0.375 1.1667	3
0.5	0.25	1	prop.finite round.auc 0.5 0.25	3
0.5	0.3333	1	prop.finite round.auc 0.5 0.3333	3
0.5	0.4167	1	prop.finite round.auc 0.5 0.4167	3
0.5	0.5	1	prop.finite round.auc 0.5 0.5	3
0.5	0.5833	1	prop.finite round.auc 0.5 0.5833	3
0.5	0.6667	1	prop.finite round.auc 0.5 0.6667	3
0.5	0.75	1	prop.finite round.auc 0.5 0.75	3
0.5	0.8333	1	prop.finite round.auc 0.5 0.8333	3
0.5	0.9167	1	prop.finite round.auc 0.5 0.9167	3
0.5	1	1	prop.finite round.auc 0.5 1	3
0.5	1.0833	1	prop.finite round.auc 0.5 1.0833	3
0.5	1.1667	1	prop.finite round.auc 0.5 1.1667	3
0.625	0.1667	1	prop.finite round.auc 0.625 0.1667	3
0.625	0.25	1	prop.finite round.auc 0.625 0.25	3
0.625	0.3333	1	prop.finite round.auc 0.625 0.3333	3
0.625	0.4167	1	prop.finite round.auc 0.625 0.4167	3
0.625	0.5	1	prop.finite round.auc 0.625 0.5	3
0.625	0.5833	1	prop.finite round.auc 0.625 0.5833	3
0.625	0.6667	1	prop.finite round.auc 0.625 0.6667	3
0.625	0.75	1	prop.finite round.auc 0.625 0.75	3
0.625	0.8333	1	prop.finite round.auc 0.625 0.8333	3
0.625	0.9167	1	prop.finite round.auc 0.625 0.9167	3
0.625	1	1	prop.finite round.auc 0.625 1	3
0.625	1.0833	1	prop.finite round.auc 0.625 1.0833	3
0.625	1.1667	1	prop.finite round.auc 0.625 1.1667	3
0.75	0.1667	1	prop.finite round.auc 0.75 0.1667	3
0.75	0.25	1	prop.finite round.auc 0.75 0.25	3
0.75	0.3333	1	prop.finite round.auc 0.75 0.3333	3
0.75	0.4167	1	prop.finite round.auc 0.75 0.4167	3
0.75	0.5	1	prop.finite round.auc 0.75 0.5	3
0.75	0.5833	1	prop.finite round.auc 0.75 0.5833	3
0.75	0.6667	1	prop.finite round.auc 0.75 0.6667	3
0.75	0.75	1	prop.finite round.auc 0.75 0.75	3
0.75	0.8333	1	prop.finite round.auc 0.75 0.8333	3
0.75	1	1	prop.finite round.auc 0.75 1	3
0.75	1.1667	1	prop.finite round.auc 0.75 1.1667	3
0.875	0.25	1	prop.finite round.auc 0.875 0.25	3
0.875	0.3333	1	prop.finite round.auc 0.875 0.3333	3
0.875	0.4167	1	prop.finite round.auc 0.875 0.4167	3
0.875	0.5	1	prop.finite round.auc 0.875 0.5	3
0.875	0.5833	1	prop.finite round.auc 0.875 0.5833	3
0.875	0.6667	1	prop.finite round.auc 0.875 0.6667	3
0.875	0.75	1	prop.finite round.auc 0.875 0.75	3
1	0.3333	1	prop.finite round.auc 1 0.3333	3
0	0.8333	1	round.aum round.auc 0 0.8333	4
0	1	1	round.aum round.auc 0 1	4
0.2	0.5	1	round.aum round.auc 0.2 0.5	4
0.2	0.6667	1	round.aum round.auc 0.2 0.6667	4
0.2	0.75	1	round.aum round.auc 0.2 0.75	4
0.2	0.8333	1	round.aum round.auc 0.2 0.8333	4
0.2	0.9167	1	round.aum round.auc 0.2 0.9167	4
0.2	1	1	round.aum round.auc 0.2 1	4
0.2	1.0833	1	round.aum round.auc 0.2 1.0833	4
0.4	0.4167	1	round.aum round.auc 0.4 0.4167	4
0.4	0.5	1	round.aum round.auc 0.4 0.5	4
0.4	0.5833	1	round.aum round.auc 0.4 0.5833	4
0.4	0.6667	1	round.aum round.auc 0.4 0.6667	4
0.4	0.75	1	round.aum round.auc 0.4 0.75	4
0.4	0.8333	1	round.aum round.auc 0.4 0.8333	4
0.4	0.9167	1	round.aum round.auc 0.4 0.9167	4
0.4	1.0833	1	round.aum round.auc 0.4 1.0833	4
