x	y	key	clickSelects	PANEL
0.25	0.5833	prop.finite round.auc 0.25 0.5833	prop.finite round.auc 0.25 0.5833	3
0.25	0.6667	prop.finite round.auc 0.25 0.6667	prop.finite round.auc 0.25 0.6667	3
0.25	0.75	prop.finite round.auc 0.25 0.75	prop.finite round.auc 0.25 0.75	3
0.25	0.8333	prop.finite round.auc 0.25 0.8333	prop.finite round.auc 0.25 0.8333	3
0.25	0.9167	prop.finite round.auc 0.25 0.9167	prop.finite round.auc 0.25 0.9167	3
0.25	1	prop.finite round.auc 0.25 1	prop.finite round.auc 0.25 1	3
0.25	1.0833	prop.finite round.auc 0.25 1.0833	prop.finite round.auc 0.25 1.0833	3
0.25	1.1667	prop.finite round.auc 0.25 1.1667	prop.finite round.auc 0.25 1.1667	3
0.375	0.4167	prop.finite round.auc 0.375 0.4167	prop.finite round.auc 0.375 0.4167	3
0.375	0.5	prop.finite round.auc 0.375 0.5	prop.finite round.auc 0.375 0.5	3
0.375	0.5833	prop.finite round.auc 0.375 0.5833	prop.finite round.auc 0.375 0.5833	3
0.375	0.6667	prop.finite round.auc 0.375 0.6667	prop.finite round.auc 0.375 0.6667	3
0.375	0.75	prop.finite round.auc 0.375 0.75	prop.finite round.auc 0.375 0.75	3
0.375	0.8333	prop.finite round.auc 0.375 0.8333	prop.finite round.auc 0.375 0.8333	3
0.375	0.9167	prop.finite round.auc 0.375 0.9167	prop.finite round.auc 0.375 0.9167	3
0.375	1	prop.finite round.auc 0.375 1	prop.finite round.auc 0.375 1	3
0.375	1.0833	prop.finite round.auc 0.375 1.0833	prop.finite round.auc 0.375 1.0833	3
0.375	1.1667	prop.finite round.auc 0.375 1.1667	prop.finite round.auc 0.375 1.1667	3
0.5	0.25	prop.finite round.auc 0.5 0.25	prop.finite round.auc 0.5 0.25	3
0.5	0.3333	prop.finite round.auc 0.5 0.3333	prop.finite round.auc 0.5 0.3333	3
0.5	0.4167	prop.finite round.auc 0.5 0.4167	prop.finite round.auc 0.5 0.4167	3
0.5	0.5	prop.finite round.auc 0.5 0.5	prop.finite round.auc 0.5 0.5	3
0.5	0.5833	prop.finite round.auc 0.5 0.5833	prop.finite round.auc 0.5 0.5833	3
0.5	0.6667	prop.finite round.auc 0.5 0.6667	prop.finite round.auc 0.5 0.6667	3
0.5	0.75	prop.finite round.auc 0.5 0.75	prop.finite round.auc 0.5 0.75	3
0.5	0.8333	prop.finite round.auc 0.5 0.8333	prop.finite round.auc 0.5 0.8333	3
0.5	0.9167	prop.finite round.auc 0.5 0.9167	prop.finite round.auc 0.5 0.9167	3
0.5	1	prop.finite round.auc 0.5 1	prop.finite round.auc 0.5 1	3
0.5	1.0833	prop.finite round.auc 0.5 1.0833	prop.finite round.auc 0.5 1.0833	3
0.5	1.1667	prop.finite round.auc 0.5 1.1667	prop.finite round.auc 0.5 1.1667	3
0.625	0.1667	prop.finite round.auc 0.625 0.1667	prop.finite round.auc 0.625 0.1667	3
0.625	0.25	prop.finite round.auc 0.625 0.25	prop.finite round.auc 0.625 0.25	3
0.625	0.3333	prop.finite round.auc 0.625 0.3333	prop.finite round.auc 0.625 0.3333	3
0.625	0.4167	prop.finite round.auc 0.625 0.4167	prop.finite round.auc 0.625 0.4167	3
0.625	0.5	prop.finite round.auc 0.625 0.5	prop.finite round.auc 0.625 0.5	3
0.625	0.5833	prop.finite round.auc 0.625 0.5833	prop.finite round.auc 0.625 0.5833	3
0.625	0.6667	prop.finite round.auc 0.625 0.6667	prop.finite round.auc 0.625 0.6667	3
0.625	0.75	prop.finite round.auc 0.625 0.75	prop.finite round.auc 0.625 0.75	3
0.625	0.8333	prop.finite round.auc 0.625 0.8333	prop.finite round.auc 0.625 0.8333	3
0.625	0.9167	prop.finite round.auc 0.625 0.9167	prop.finite round.auc 0.625 0.9167	3
0.625	1	prop.finite round.auc 0.625 1	prop.finite round.auc 0.625 1	3
0.625	1.0833	prop.finite round.auc 0.625 1.0833	prop.finite round.auc 0.625 1.0833	3
0.625	1.1667	prop.finite round.auc 0.625 1.1667	prop.finite round.auc 0.625 1.1667	3
0.75	0.1667	prop.finite round.auc 0.75 0.1667	prop.finite round.auc 0.75 0.1667	3
0.75	0.25	prop.finite round.auc 0.75 0.25	prop.finite round.auc 0.75 0.25	3
0.75	0.3333	prop.finite round.auc 0.75 0.3333	prop.finite round.auc 0.75 0.3333	3
0.75	0.4167	prop.finite round.auc 0.75 0.4167	prop.finite round.auc 0.75 0.4167	3
0.75	0.5	prop.finite round.auc 0.75 0.5	prop.finite round.auc 0.75 0.5	3
0.75	0.5833	prop.finite round.auc 0.75 0.5833	prop.finite round.auc 0.75 0.5833	3
0.75	0.6667	prop.finite round.auc 0.75 0.6667	prop.finite round.auc 0.75 0.6667	3
0.75	0.75	prop.finite round.auc 0.75 0.75	prop.finite round.auc 0.75 0.75	3
0.75	0.8333	prop.finite round.auc 0.75 0.8333	prop.finite round.auc 0.75 0.8333	3
0.75	1	prop.finite round.auc 0.75 1	prop.finite round.auc 0.75 1	3
0.75	1.1667	prop.finite round.auc 0.75 1.1667	prop.finite round.auc 0.75 1.1667	3
